1 Section 01-17
(005)constitution	憲法
(007)subtle	かすかな
(010)be beside oneself (with ...)	(...で)ひどく興奮する、取り乱す
(011)combine A with[and] B	AとBを組み合わせる
(011)poetry	詩
(012)up-to-date ...	(形)(情報などが)最新の...
(014)fable	寓話
(018)be eager to do	しきりにdoしたがっている
(023)be apt to do	doしがちである
(028)competent	(形)能力[技能]を持つ
(030)dismal	(形)(結果・状況などが)気分を暗くさせる
(030)thorough	徹底的な
(032)delinquency	非行
(034)density	密度
(035)in all likelihood	(副)ほぼ間違いなく
(038)expose A to B	AをBにさらす
(039)cannnot do too much	いくらdoしてもし過ぎることはない
(043)prominent	傑出した、著名な
(046)compensate (A) for B	(Aが被った)B(損害)を補償する
(050)strain ...	...を痛める
(051)remedy	治療
(053)let alone ...	...はなおさら(~でない)
(056)boast about[of] ...	...を自慢げに話す
(057)be opposed to ...	...に反対である
(057)ethical	倫理上の、倫理的な
(062)genuine	本物の
(069)hang out	なんとなく時間を過ごす、ぶらぶらする
(068)split the check	割り勘にする
(074)as the proverb goes[says]	(副)諺にある通り
(076)wind (...) up	(...を)終わりにする
(077)have[be] yet to do	まだdoしていない
(077)regarding ...	(前)...に関して
(084)put ... into practice	...を実行に移す
(084)ingenious	独創的な
(087)defeat ...	...に勝つ、...を負かす
(087)live up to one's expectations	one'sの期待に応える
(091)fall through	(動)うまくいかない
(093)on account of ...	...(好ましくないこと)が理由で
(100)defect	(名)欠陥
(105)substitute ... (for A)	...を(Aの)代わりに使う
(116)fragment	破片
(117)keep an eye on ...	...から目を離さない、...を気を付けて見る
(122)pastime	余暇の楽しみ
(122)stroll	ぶらぶらと歩く、散歩する
(125)faint	気を失う
(130)resent ...	...に腹を立てる
(131)discourage A from doing	A(人)にdoingする気をなくさせる
(134)unprecedented	(形)いまだかつてない
(136)competitiveness	競争力
(136)deregulation	規制緩和[撤廃]
(136)in earnest	(副,形)真剣に[な]
(136)sweeping ...	大幅な...
(136)undertake ...	...に着手する
(137)desperate	(形)わらにもすがる思いの
(139)monarchy	君主国、君主政治
(141)disarmament	軍備縮小
(141)prospect	可能性、見込み
(144)abuse ...	...を乱用[悪用]する
(144)aristocrat	貴族
(145)in itself	(副)それ自体は[が]
(149)suspend ...	...を停職[停学]にする
(149)get away with ...	...の罰をまんまと逃れる
(150)be jealous of ...	...を妬んでいる
(150)hostile (to/toward ...)	(形)(...に対して)敵対的な
(152)compliment	ほめ言葉
(152)frown	(動)顔をしかめる
(153)at one's disposal	(形)one'sの自由にできる
(155)beat around the bush	話をじらす
(155)be supposed to do	doするものだと思われている
(157)flunk (...)	(...(科目)を)落とす
(158)thesis	論文
(159)concise	簡潔な
(162)I bet (that)~	(動)きっと~だ
(161)turn ... in	...を提出する
(164)precise	厳密な
(164)premise	(名)前提
(169)concept	概念、考え
(173)barely ...	(副)何とか...(する)、かろうじて...
(173)minute	極めて小さい[細かい]
(173)particle	粒子
(174)tissue	(細胞)組織
(175)substance	物質
(175)be composed of ...	...から構成されている
(178)turn ... down	...のお願いごとを断る
(180)considerate	思いやりのある
(181)take to ...	...が好きになる
(183)count	(動)重要である
(183)exclaim (...)	(...と)語気を強めて言う
(184)as ... put it	...が言うように
(186)on earth	(疑問文中で)いったい
(186)contempt (for ...)	(名)(...に対する)軽蔑
(187)learn one's lesson	教訓を得る、懲りる
(190)stumble	(動)つまずく
(190)twist (...)	...を捻挫する
(192)passive	消極的な
(194)injection	注射
(193)irrational	(形)根拠のない
(196)be absorbed in ...	...に夢中になっている
(197)think '程度' of A	Aを'程度'だと思う[評価する]
(197)as a matter of fact	実際には


2 Section 18-23
(198)hold ... back	...(真実・感情など)を隠す
(199)swear at ...	...を罵る
(203)drop in	ふらっと立ち寄る
(205)make up (with ...)	(...と)仲直りする
(205)take A for granted	Aを当然のことと思う
(205)be through	終わる
(205)for good	永遠[永久]に
(206)mean to do	doするつもりである
(207)get even (with ...)	(...に)仕返しする
(208)conceal ...	...を隠す
(208)confess	(牧師に)告白する
(208)sin	罪、過ち
(209)lose face	評判を落とす
(210)stick to ...	...を(あくまでも)守る
(210)in the long run	最後には
(210)pay off	報われる
(211)dwell on ...	...をくよくよ考える[話す]
(212)be tied up	(動)とても忙しい
(214)Interstate	幹線道路
(215)skid	スリップする
(216)collision	衝突
(217)get in touch with...	...と連絡を取る
(216)sheer ...	(形)全くの...
(219)intersection	交差点
(219)rusty	さびた
(219)obstruct ...	...の進路を妨げる
(220)dent	へこみ
(220)fine	(形)細かい
(220)it's no use[good] doing	(定)doingしても無駄だ
(221)get[be] stuck	動かなくなる、はまる
(223)come close to ...	危うく...しそうになる
(223)pedestrian	歩行者
(224)contend that ~	~だと力説する
(227)astronomer	天文学者
(228)applause	拍手、賞賛
(228)spontaneous	(形)自然に生じる
(229)endangered	絶滅の危機に瀕した
(229)with a view to doing	doingするつもりで
(230)massive	極めて大きい
(230)paralyze...	...を麻痺させる
(230)transportation	交通[輸送]機関
(231)equator	赤道
(231)hemisphere	半球
(232)cruel	残酷な
(233)conservation	保存、保護
(234)be on the verge of ...	...の寸前である
(234)extinction	絶滅
(235)drought	(名)干ばつ
(235)prolonged	(形)長引く
(237)emission	(名)排出
(239)call on A to do	Aにdoするように求める
(239)curb ...	...を抑制する
(239)side by side	協力し合って
(240)glacier	氷河
(240)orbit	軌道
(241)blessing	天の恵み
(241)curse	(名)災いのもと
(241)petroleum	石油
(242)be abundant in ...	...が豊富である
(243)region	(名)地方、地域
(243)relatively	(副)比較的
(244)account for ...	...を占める
(244)approximately	(副)ほぼ、およそ
(245)be indispensable for[to] ...	...に不可欠である
(245)fertile	肥沃な
(245)soil	土、土壌
(246)be characteristic of ...	...の特徴である
(247)erupt	噴火する
(248)Atlantic	大西洋
(248)Pacific	太平洋
(250)be accompanied by ...	...が付随して起こる
(250)famine	飢饉
(250)more often than not	たいてい
(250)plague	疫病
(251)devastating	壊滅的な
(252)give way	崩れ落ちる
(253)be likely to do	doしそうだ
(254)it's up in the air	(どうなるかが)決まっていない
(254)make no difference (to ...)	(...にとっては)どちらでも同じ
(256)identify A with B	AをBと同じものだと考える
(256)modernization	近代化
(256)westernization	西欧化
(257)appear (to be) ...	...のように見える
(258)A stands for ...	Aは...の略[頭文字]である
(260)make the best of...	...(よくない状況)の中で何とかやっていく
(264)rush (...)	焦る、焦ってする
(265)have (程度) to do with ...	...と(程度の)関係がある
(267)transform ... (into A)	...を(Aへと)一変させる
(268)invention	発明品
(269)attribute A to B	Aの起因をBだと考える
