1 Section 01-17 se
constitution -(005 Equality is guaranteed by the Constitution.)	憲法

subtle -(007 A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.)	かすかな

be beside oneself (with ...) -(010 Bob was so beside himself that he could scarcely tell fact from fiction.)	(...で)ひどく興奮する、取り乱す

combine A with[and] B -(011 His new nobel, which combines prose with his gift for poetry, is going to be published.)	AとBを組み合わせる

poetry -(011 His new nobel, which combines prose with his gift for poetry, is going to be published.)	詩

up-to-date ... -(012 An up-to-date edition of the encyclopedia will come out next month.)	(形)(情報などが)最新の...

fable -(014 The following passage is quoted from a well-known fable.)	寓話

be eager to do -(018 This article contains tips for those who are eager to increase their vocabulary.)	しきりにdoしたがっている

be apt to do -(023 "I'm apt to buy things on impulse whenever something is on sale." "So am I.")	doしがちである

competent -(028 Competent mechanics are in great demand, so they earn decent wages.)	(形)能力[技能]を持つ

dismal -(030 His policy will no doubt lead to dismal consequences. It needs a thorough review.)	(形)(結果・状況などが)気分を暗くさせる

thorough -(030 His policy will no doubt lead to dismal consequences. It needs a thorough review.)	徹底的な

delinquency -(032 Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.)	非行

density -(034 The population density in the metropolis is gradually decreasing.)	密度

in all likelihood -(035 In all likelihood, the birthrate will continue to decline steadily for years to come.)	(副)ほぼ間違いなく

expose A to B -(038 In fact, the inhabitants have been exposed to radiation.)	AをBにさらす

cannnot do too much -(039 One cannot emphasize too much the potential danger of nuclear energy.)	いくらdoしてもし過ぎることはない

prominent -(043 Why don't you consult Starr in person? He's by far the most prominent attorney around here.)	傑出した、著名な

compensate (A) for B -(046 They are entitled to be compensated for their injuries.)	(Aが被った)B(損害)を補償する

strain ... -(050 My grandma strained her back when she bent down to hug my son.)	...を痛める

remedy -(051 If you have a stiff neck, try an herbal remedy.)	治療

let alone ... -(053 We can't apply cloning techniques to cattle, let alone human beings. It's forbidden.)	...はなおさら(~でない)

boast about[of] ... -(056 The biologist is proud of his historic discovery and doesn't mind boasting about it.)	...を自慢げに話す

be opposed to ... -(057 On ethical grounds, they are opposed to so-called gene therapy.)	...に反対である

ethical -(057 On ethical grounds, they are opposed to so-called gene therapy.)	倫理上の、倫理的な

genuine -(062 "This is fake, isn't it?" "Hey, it's a genuine antique." "No way!")	本物の

hang out -(069 While I was hanging out at the mall, I ran into Ken.)	なんとなく時間を過ごす、ぶらぶらする

split the check -(068 "It's on me." "No. You treat me every time we eat out." "Well, okay. Let's split the check then.")	割り勘にする

as the proverb goes[says] -(074 As the proverb goes, "The end justifies the means.")	(副)諺にある通り

wind (...) up -(076 The chairman cut me off, saying, "Time to wind things up. Let's take a vote.")	(...を)終わりにする

have[be] yet to do -(077 We exchanged frank opinions in the meeting, but consensus is yet to be reached regarding this matter.)	まだdoしていない

regarding ... -(077 We exchanged frank opinions in the meeting, but consensus is yet to be reached regarding this matter.)	(前)...に関して

put ... into practice -(084 He came up with an ingenious, sensible solution and immediately put it into practice.)	...を実行に移す

ingenious -(084 He came up with an ingenious, sensible solution and immediately put it into practice.)	独創的な

defeat ... -(087 We expected him to defeat his opponent, but he failed to live up to our expectations.)	...に勝つ、...を負かす

live up to one's expectations -(087 We expected him to defeat his opponent, but he failed to live up to our expectations.)	one'sの期待に応える

fall through -(091 Without your solid support, the deal would have fallen through. I'm grateful to you.)	(動)うまくいかない

on account of ... -(093 Our flight to Vienna was delayed on account of a minor accident.)	...(好ましくないこと)が理由で

defect -(100 The vehicles are inspected for defects every three months.)	(名)欠陥

substitute ... (for A) -(105 You can substitute some transparent glue for a needle and thread.)	...を(Aの)代わりに使う

fragment -(116 After he bumped into the shelf, the priceless china fell and shattered into fragments.)	破片

keep an eye on ... -(117 Can you keep an eye on my kids for a while? I need to pick up Ken. No problem.")	...から目を離さない、...を気を付けて見る

pastime -(122 My favorite pastime is strolling along the shore. It's pleasant.)	余暇の楽しみ

stroll -(122 My favorite pastime is strolling along the shore. It's pleasant.)	ぶらぶらと歩く、散歩する

faint -(125 He fainted with hunger and fatigue, but came to after a while.)	気を失う

resent ... -(130 Lucy resented the aggressive salesman trying to make her sign the contract.)	...に腹を立てる

discourage A from doing -(131 There are a number of factors discouraging us from investing in stocks.)	A(人)にdoingする気をなくさせる

unprecedented -(134 The world is faced with an unprecedented crisis.)	(形)いまだかつてない

competitiveness -(136 In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest.)	競争力

deregulation -(136 In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest.)	規制緩和[撤廃]

in earnest -(136 In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest.)	(副,形)真剣に[な]

sweeping ... -(136 In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest.)	大幅な...

undertake ... -(136 In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest.)	...に着手する

desperate -(137 We cannot turn our backs on desperate people who are at risk.)	(形)わらにもすがる思いの

monarchy -(139 Some say the British monarchy should be abolished. What do you think?)	君主国、君主政治

disarmament -(141 There's little prospect that the two countries will make significant progress in disarmament.)	軍備縮小

prospect -(141 There's little prospect that the two countries will make significant progress in disarmament.)	可能性、見込み

abuse ... -(144 The aristocrats abused their privileges to their heart's content.)	...を乱用[悪用]する

aristocrat -(144 The aristocrats abused their privileges to their heart's content.)	貴族

in itself -(145 The revolution in itself, bore no fruit, after all.)	(副)それ自体は[が]

suspend ... -(149 When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it.)	...を停職[停学]にする

get away with ... -(149 When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it.)	...の罰をまんまと逃れる

be jealous of ... -(150 They are hostile to Richard because they are jealous of his wealth and status.)	...を妬んでいる

hostile (to/toward ...) -(150 They are hostile to Richard because they are jealous of his wealth and status.)	(形)(...に対して)敵対的な

compliment -(152 In spite of our compliments, he frowned and turned away. He was so rude!)	ほめ言葉

frown -(152 In spite of our compliments, he frowned and turned away. He was so rude!)	(動)顔をしかめる

at one's disposal -(153 He claimed that the enormous property was at his disposal.)	(形)one'sの自由にできる

beat around the bush -(155 "Don't beat around the bush! What am I supposed to do?" "Just wait and see. Time will tell.")	話をじらす

be supposed to do -(155 "Don't beat around the bush! What am I supposed to do?" "Just wait and see. Time will tell.")	doするものだと思われている

flunk (...) -(157 Joe is anything but diligent. That's why he flunked math again.)	(...(科目)を)落とす

thesis -(158 His thesis doesn't make sense. To begin with, its theme is obscure.)	論文

concise -(159 His essay was concise and to the point.)	簡潔な

I bet (that)~ -(162 "What if I don't meet the deadline?" "I bet he'll get mad at you!")	(動)きっと~だ

turn ... in -(161 "Nick, I want you to look this over before I turn it in." "Sorry, but I have my hands full right now.")	...を提出する

premise -(164 You ought to think over whether the premise is valid or not.)	(名)前提

precise -(165 Above all, scientific terms call for precise definitions.)	厳密な

concept -(169 This chapter will focus on the concepts of geometry.)	概念、考え

barely ... -(173 The minute particles are barely visible to the naked eye.)	(副)何とか...(する)、かろうじて...

minute -(173 The minute particles are barely visible to the naked eye.)	極めて小さい[細かい]

particle -(173 The minute particles are barely visible to the naked eye.)	粒子

tissue -(174 Muscle tissue consists of a vast number of cells.)	(細胞)組織

substance -(175 This substance is mostly composed of hydrogen and oxygen.)	物質

be composed of ... -(175 This substance is mostly composed of hydrogen and oxygen.)	...から構成されている

turn ... down -(178 I fell in love with Naomi at first sight. Three months later, I took a chance and proposed to her, but she turned me down.)	...のお願いごとを断る

considerate -(180 His nephew was brought up to be modest and considerate.)	思いやりのある

take to ... -(181 I introduced Bob to my folks, and they took to him at once.)	...が好きになる

count -(183 "It's not your title that counts. That's for sure!" exclaimed Bob.)	(動)重要である

exclaim (...) -(183 "It's not your title that counts. That's for sure!" exclaimed Bob.)	(...と)語気を強めて言う

as ... put it -(184 As a self-made man put it, "A man of vision will make good in the end.")	...が言うように

on earth -(186 I can't figure out why on earth everybody feels so much contempt for Bob!)	(疑問文中で)いったい

contempt (for ...) -(186 I can't figure out why on earth everybody feels so much contempt for Bob!)	(名)(...に対する)軽蔑

learn one's lesson -(187 I can't help laughing at him because he keeps on making stupid mistakes. He'd be the last person to learn his lesson.)	教訓を得る、懲りる

stumble -(190 Dave is fat and clumsy. When he leaped over the shallow stream, he stumbled and twisted his ankle.)	(動)つまずく

twist (...) -(190 Dave is fat and clumsy. When he leaped over the shallow stream, he stumbled and twisted his ankle.)	...を捻挫する

passive -(192 The passive man seldom, if ever, expresses himself in public.)	消極的な

injection -(194 I tremble with fear at the thought of an injection.)	注射

irrational -(193 Nick convinced me that all superstitions are irrational.)	(形)根拠のない

be absorbed in ... -(196 While Bob was at work, Jennifer was at home absorbed in silly soap opera.)	...に夢中になっている

think '程度' of A -(197 Bob likes cartoons, but I don't think much of them. As a matter of fact, they're boring)	Aを'程度'だと思う[評価する]

as a matter of fact -(197 Bob likes cartoons, but I don't think much of them. As a matter of fact, they're boring)	実際には


2 Section 18-23 se
hold ... back -(198 It occurred to me that he was holding something back, because he wouldn't look me in the eye.)	...(真実・感情など)を隠す

swear at ... -(199 When her patience gave out, she grabbed his collar and swore at him.)	...を罵る

drop in -(203 I can't put you up. For one thing, my dad drop in on me from time to time.)	ふらっと立ち寄る

sidewalk -(204 While Jennifer was standing still, Bob was pacing back and forth along the sidewalk.)	歩道

make up (with ...) -(205 "Let's make up, Lisa." "Stop taking me for granted! We're through for good this time.I mean it!")	(...と)仲直りする

take A for granted -(205 "Let's make up, Lisa." "Stop taking me for granted! We're through for good this time.I mean it!")	Aを当然のことと思う

be through -(205 "Let's make up, Lisa." "Stop taking me for granted! We're through for good this time.I mean it!")	終わる

for good -(205 "Let's make up, Lisa." "Stop taking me for granted! We're through for good this time.I mean it!")	永遠[永久]に

mean to do -(206 Come on! Don't get so emotional, Lisa. I didn't mean to hurt you. Let's talk it over.)	doするつもりである

get even (with ...) -(207 "You betrayed me!" "Please forgive me. How can I make it up to you?" "I'll get even!")	(...に)仕返しする

conceal ... -(208 You should confess your sins rather than conceal them.)	...を隠す

confess -(208 You should confess your sins rather than conceal them.)	(牧師に)告白する

sin -(208 You should confess your sins rather than conceal them.)	罪、過ち

lose face -(209 Keep your word; otherwise you'll end up losing face.)	評判を落とす

stick to ... -(210 Bob sticks to his moral principles and believes that honesty pays off in the long run.)	...を(あくまでも)守る

in the long run -(210 Bob sticks to his moral principles and believes that honesty pays off in the long run.)	最後には

pay off -(210 Bob sticks to his moral principles and believes that honesty pays off in the long run.)	報われる

dwell on ... -(211 "Cheer up! You couldn't help it." "I did my best." "I know. Don't dwell on the past. You can start over!")	...をくよくよ考える[話す]

be tied up -(212 "Jane, please do me a favor and give me a ride to Times Square." "I wish I could, but I'm tied up right now.")	(動)とても忙しい

Interstate -(214 The other day I ran out of gas in the middle of a busy Interstate.)	幹線道路

skid -(215 A truck driving ahead of me skidded, turned over, and scattered its load all over the road.)	スリップする

collision -(216 He recalled that a collision had been avoided by sheer luck.)	衝突

get in touch with... -(217 In case of an emergency, get in touch with my agent right away.)	...と連絡を取る

sheer ... -(216 He recalled that a collision had been avoided by sheer luck.)	(形)全くの...

intersection -(219 My rusty Ford broke down, obstructing the intersection.)	交差点

rusty -(219 My rusty Ford broke down, obstructing the intersection.)	さびた

obstruct ... -(219 My rusty Ford broke down, obstructing the intersection.)	...の進路を妨げる

dent -(220 There are so many fine scratches and dents on its surface, it's no use polishing it.)	へこみ

fine -(220 There are so many fine scratches and dents on its surface, it's no use polishing it.)	(形)細かい

it's no use[good] doing -(220 There are so many fine scratches and dents on its surface, it's no use polishing it.)	(定)doingしても無駄だ

get[be] stuck -(221 "Hey, we're stuck in a traffic jam!" "Chill out, Joe. Let's take a shortcut! We'll get there in time.")	動かなくなる、はまる

come close to ... -(223 The ambulance went out of control and came close to running over a pedestrian.)	危うく...しそうになる

pedestrian -(223 The ambulance went out of control and came close to running over a pedestrian.)	歩行者

contend that ~ -(224 He contends that primitive life once existed on Mars.)	~だと力説する

astronomer -(227 Many astronomers assume that the universe will expand infinitely.)	天文学者

