Contents
# 派生語・関連語 #
# Vocabulary relevant "to ..." #
# Vocabulary using "to do" #
# Similar spelling words #
# Synonyms #
# Words about explosion
# Words about disaster
# Words related to the military
# Words related to large number
# Words related to expert

##################
# 派生語・関連語 #
##################
(237)pertain to ...	...と関連性がある
(268)invade (...)	(...を)侵略する
(329)obligatory	強制的な、義務の
(329)mandatory	強制的な、義務の
(348)prestige	名声、威信
(351)renown	名声
(351)eminent	有名な
(351)renowned	有名な
(381)loyal	忠実[誠実]な
(428)reluctant	(形)いやいやの
(463)perception	知覚力
(463)perceptive	理解[知覚]力が鋭い
(527)inclination	(そうしたいと思う)気持ち
(527)exaggeration	誇張、誇張表現
(510)sophistication	洗練
(533)depress ...	...を憂鬱にさせる

################################
# Vocabulary relevant "to ..." #
################################
(449)be indifferent to ...	...に無関心である
(440)put an end to ...	(動)...に終止符を打つ

(341)give in (to ...)	(...に)降参する
(343)yield (to ...)	(...に)屈する
(425)surrender (to ...)	(...に)降伏する

(307)be subject to ...	...を受ける場合がある
(525)be open to ...	(動)...を受けやすい

(223)come close to ...	危うく...しそうになる

(358)adapt to ...	...に順応する
(509)adjust to ...	...に順応する

(229)with a view to doing	doingするつもりで

(210)stick to ...	...を(あくまでも)守る
(422)appeal to ...	...に訴える
(357)cling to ...	...にしがみつく
(507)keep to ...	(動)...から離れない

(057)be opposed to ...	...に反対である

(309)get back to ...	...に連絡しなおす[会いに行く]
(356)amount to ...	(動)...に達する

(402)reconcile oneself to ...	(動)...を仕方なく受け入れる
(422)resort to ...	(動)...という手段を取る

(519)pay attention to ...	(動)...に注意を払う

(181)take to ...	...が好きになる
(375)look up to ...	...を尊敬する
(285)see to ...	必ず...する
(461)give rise to ...	...を引き起こす
(245)be indispensable for[to] ...	...に不可欠である

############################
# Vocabulary using "to do" #
############################
(018)be eager to do	しきりにdoしたがっている
(143)be anxious to do	doしたいと切望している
(077)have[be] yet to do	まだdoしていない

(239)call on A to do	Aにdoするように求める
(391)force A to do	Aにdoするように強いる
(330)encourage A to do	Aにdoするように励ます

(265)have (程度) to do with ...	...と(程度の)関係がある
(400)dare (to) do ...	(否定文で)思い切ってdoする

(379)A might[may] well do	Aがdoするのももっともだ
(402)might as well doA as doB	doBするくらいならdoAするほうがましだ

(328)be obliged to do	doせざるを得ない
(428)be reluctant to do	doすることに気が進まない

(023)be apt to do	doしがちである
(393)tend to do	doする傾向がある
(527)be inclined to do	doする傾向がある
(403)be about to do	doするところである
(429)be bound to do	きっとdoする
(206)mean to do	doするつもりである
(155)be supposed to do	doするものだと思われている
(253)be likely to do	doしそうだ

(476)so as to do	(副)doするために
(544)go so far as to do	doさえもする


##########################
# Similar spelling words #
##########################
(296)excursion	日帰りツアー
(475)expedition	探検旅行

(363)registration	登録
(456)legislation	法律

(143)be anxious to do	doしたいと切望している
(143)be anxious for ...	...を切望している
(143)be anxious about ...	...を心配している
(290)be concerned about ...	...を心配している
(394)be concerned with ...	...(人が)に関心がある
(520)as far as A is concerned	Aに関しては

(260)make the best of ...	...(よくない状況)の中で何とかやっていく
(345)make the most of ...	...(有利な状況)を最大限利用する

(445)discrimination	差別
(032)delinquency	非行

(035)decline	減少する
(432)declare ...	...を宣言する

(353)live from hand to mouth	その日暮らしをする
(367)cannot make heads or tails of ...	...がさっぱりわからない

(402)fate	(名)運命
(349)feat	偉業

(230)paralyze...	...を麻痺させる
(469)penetrate (...)	(...を)突き抜ける

(133)abandon ...	...を見捨てる
(242)be abundant in ...	...が豊富である

(399)flatly	(副)きっぱりと
(082)flatter...	...にお世辞を言う
(418)flaw (in ...)	(名)(...の)欠陥、問題箇所
(152)frown	(動)顔をしかめる
(157)flunk (...)	(...(科目)を)落とす

(094)plunge (into A)	Aに勢いよく[激しく]飛び込む
(250)plague	疫病

(427)deprive A of B	(動)AからBを剥奪する
(512)derive A from B	(動)BからAを引き出す

(141)prospect	可能性、見込み
(359)prosperity	(名)繁栄
(338)perspective	(名)バランスの取れた見方

(211)dwell on ...	...をくよくよ考える[話す]
(539)it dawns on A that ~	~ということにAが気付いてくる

(243)region	(名)地方、地域
(429)regime	(名)政権
(427)reign	支配

(030)dismal	(形)(結果・状況などが)気分を暗くさせる
(395)diminish	弱まる
(406)dismiss ...	...を解雇[解任]する

(136)deregulation	規制緩和[撤廃]
(141)disarmament	軍備縮小

(216)collision	衝突
(429)collapse	(動)崩壊する

(100)defect	(名)欠陥
(293)deficit	(名)赤字

(261)content	内容、中身
(224)contend that ~	~だと力説する

############
# Synonyms #
############
(080)go over ...	...(の全体)をよく見る[説明する/考える]
(164)think ... over	...を(どうしたらいいのか)よく[慎重に]考える
(206)talk ... over	...についてよく話し合う

(080)be getting at ...	...を言おうとしている
(499)imply ...	...をほのめかす

(075)turn to ...	...に頼る
(285)count on ...	...に頼る

(399)flatly	(副)きっぱりと
(453)once and for all	きっぱりと

(118)mess	散らかって汚い状態[もの]
(372)make a fuss	騒ぎ立てる

(069)hang out	なんとなく時間を過ごす、ぶらぶらする
(312)hang around	群がる、たむろする

(267)thriving	繁栄している
(359)prosperity	繁栄

(547)ordeal	厳しい試練
(090)obstacle	障害
(349)adversity	逆境
(282)burden	負担
(343)threat	脅威、脅迫

(455)revenue	歳入
(380)surplus	黒字

(356)debt	借金
(293)deficit	(名)赤字
(284)loss	損失

(191)coward	臆病者、弱虫
(502)timid	臆病な

